Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-04-23 10:31:53 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\CD_Mote1_Plate1.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CD_Mote1_Plate1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-04-22 15:04:40 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,DRNMIN,NOAMP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Mcav,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,60.002,,,
2,A2,FALSE,+,C,UNKNOWN,VIC,NFQ-MGB,15.775,15.810,0.049,,,,,,,,FALSE,0.020,TRUE,3,13,Amp,,0.847,N,N,N,N,N,0.000,,,
2,A2,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,9.347,9.578,0.326,,,,,,,,FALSE,0.020,TRUE,3,7,Amp,,0.536,Y,N,N,N,N,60.002,,,
3,A3,FALSE,25-19,Mcav,UNKNOWN,SYBR,None,23.776,23.738,0.053,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.800,Y,N,N,N,N,75.204,,,
4,A4,FALSE,25-19,C,UNKNOWN,VIC,NFQ-MGB,27.487,27.398,0.127,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.920,N,N,N,N,N,0.000,,,
4,A4,FALSE,25-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,73.888,,,
5,A5,FALSE,25-19,Mcav,UNKNOWN,SYBR,None,23.700,23.738,0.053,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.932,N,N,N,N,N,75.204,,,
6,A6,FALSE,25-19,C,UNKNOWN,VIC,NFQ-MGB,27.308,27.398,0.127,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.928,N,N,N,N,N,0.000,,,
6,A6,FALSE,25-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,77.250,,,
7,A7,FALSE,20-08,Mcav,UNKNOWN,SYBR,None,22.814,22.765,0.069,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.782,Y,N,N,N,N,75.204,,,
8,A8,FALSE,20-08,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,0.000,,,
8,A8,FALSE,20-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,75.350,,,
9,A9,FALSE,20-08,Mcav,UNKNOWN,SYBR,None,22.716,22.765,0.069,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.758,Y,N,N,N,N,75.204,,,
10,A10,FALSE,20-08,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,0.000,,,
10,A10,FALSE,20-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,23,No Amp,,0.000,Y,N,N,N,Y,73.742,,,
11,A11,FALSE,+,Mcav,UNKNOWN,SYBR,None,14.262,14.818,0.787,,,,,,,,FALSE,0.020,TRUE,3,12,Amp,,0.397,Y,N,Y,N,N,75.204,,,
12,A12,FALSE,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,0.000,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,11,No Amp,,0.000,Y,N,N,N,N,73.742,,,
13,B1,FALSE,23-10,Mcav,UNKNOWN,SYBR,None,24.448,24.553,0.149,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.774,Y,N,N,N,N,75.058,,,
14,B2,FALSE,23-10,C,UNKNOWN,VIC,NFQ-MGB,25.838,26.150,0.441,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.935,N,N,N,N,N,0.000,,,
