Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-04-23 10:34:57 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\CD_Mote1_Plate2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CD_Mote1_Plate2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-04-22 16:47:26 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,PRFDROP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Mcav,UNKNOWN,SYBR,None,Undetermined,35.337,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,60.001,,,
2,A2,FALSE,+,C,UNKNOWN,VIC,NFQ-MGB,16.046,16.037,0.013,,,,,,,,FALSE,0.020,TRUE,3,14,Amp,,0.798,Y,N,N,N,N,N,0.000,,,
2,A2,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,9.699,9.776,0.109,,,,,,,,FALSE,0.020,TRUE,3,8,Amp,,0.525,Y,N,N,N,N,N,60.001,,,
3,A3,FALSE,22-13,Mcav,UNKNOWN,SYBR,None,22.788,22.664,0.176,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.740,Y,N,N,N,N,N,75.166,,,
4,A4,FALSE,22-13,C,UNKNOWN,VIC,NFQ-MGB,33.060,32.234,1.168,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.883,N,N,N,Y,N,N,0.000,,,
4,A4,FALSE,22-13,D,UNKNOWN,FAM,NFQ-MGB,29.907,30.371,0.655,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.942,N,N,N,Y,N,N,75.608,,,
5,A5,FALSE,22-13,Mcav,UNKNOWN,SYBR,None,22.540,22.664,0.176,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.783,Y,N,N,N,N,N,75.166,,,
6,A6,FALSE,22-13,C,UNKNOWN,VIC,NFQ-MGB,31.408,32.234,1.168,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.912,N,N,N,Y,N,N,0.000,,,
6,A6,FALSE,22-13,D,UNKNOWN,FAM,NFQ-MGB,30.834,30.371,0.655,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.947,N,N,N,Y,N,N,75.902,,,
7,A7,FALSE,20-24,Mcav,UNKNOWN,SYBR,None,23.159,23.264,0.149,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.820,N,N,N,N,N,N,75.019,,,
8,A8,FALSE,20-24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,0.000,,,
8,A8,FALSE,20-24,D,UNKNOWN,FAM,NFQ-MGB,27.737,27.728,0.013,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.522,Y,N,N,N,N,N,77.080,,,
9,A9,FALSE,20-24,Mcav,UNKNOWN,SYBR,None,23.369,23.264,0.149,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.854,N,N,N,N,N,N,75.166,,,
10,A10,FALSE,20-24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,0.000,,,
10,A10,FALSE,20-24,D,UNKNOWN,FAM,NFQ-MGB,27.718,27.728,0.013,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.540,Y,N,N,N,N,N,67.068,,,
11,A11,FALSE,+,Mcav,UNKNOWN,SYBR,None,15.461,15.587,0.179,,,,,,,,FALSE,0.020,TRUE,3,13,Amp,,0.680,Y,N,N,N,N,N,75.019,,,
12,A12,FALSE,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,0.000,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,N,N,72.663,,,
13,B1,FALSE,22-23,Mcav,UNKNOWN,SYBR,None,23.123,23.209,0.122,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.776,Y,N,N,N,N,N,75.019,,,
