	Mc17-25.fq.trim.sam.counts	Mc17-33.fq.trim.sam.counts	Mc17-40.fq.trim.sam.counts	Mc17-66.fq.trim.sam.counts	Mc20-01.fq.trim.sam.counts	Mc20-04.fq.trim.sam.counts	Mc20-05.fq.trim.sam.counts	Mc20-08.fq.trim.sam.counts	Mc20-12.fq.trim.sam.counts	Mc20-14.fq.trim.sam.counts	Mc20-15.fq.trim.sam.counts	Mc20-18.fq.trim.sam.counts	Mc20-20.fq.trim.sam.counts	Mc20-21.fq.trim.sam.counts	Mc20-22.fq.trim.sam.counts	Mc20-24.fq.trim.sam.counts	Mc20-27.fq.trim.sam.counts	Mc20-33.fq.trim.sam.counts	Mc21-05.fq.trim.sam.counts	Mc21-08.fq.trim.sam.counts	Mc21-19.fq.trim.sam.counts	Mc21-20.fq.trim.sam.counts	Mc22-01.fq.trim.sam.counts	Mc22-03.fq.trim.sam.counts	Mc22-07.fq.trim.sam.counts	Mc22-08.fq.trim.sam.counts	Mc22-09.fq.trim.sam.counts	Mc22-12.fq.trim.sam.counts	Mc22-13.fq.trim.sam.counts	Mc22-16.fq.trim.sam.counts	Mc22-18.fq.trim.sam.counts	Mc22-20.fq.trim.sam.counts	Mc22-23.fq.trim.sam.counts	Mc22-24.fq.trim.sam.counts	Mc22-27.fq.trim.sam.counts	Mc22-40.fq.trim.sam.counts	Mc23-02.fq.trim.sam.counts	Mc23-10.fq.trim.sam.counts	Mc23-12.fq.trim.sam.counts	Mc23-27.fq.trim.sam.counts	Mc25-01.fq.trim.sam.counts	Mc25-07.fq.trim.sam.counts	Mc25-19.fq.trim.sam.counts	Mc25-25.fq.trim.sam.counts	Mc26-04.fq.trim.sam.counts	Mc26-06.fq.trim.sam.counts	Mc26-07.fq.trim.sam.counts	Mc26-09.fq.trim.sam.counts	Mc26-13.fq.trim.sam.counts	Mc26-15.fq.trim.sam.counts	Mc26-17.fq.trim.sam.counts	Mc26-18.fq.trim.sam.counts	Mc26-22.fq.trim.sam.counts	Mc26-23.fq.trim.sam.counts	Mc26-24.fq.trim.sam.counts	Mc26-25.fq.trim.sam.counts	Mc26-28.fq.trim.sam.counts	Mc26-30.fq.trim.sam.counts	Mc28-18.fq.trim.sam.counts	Mc28-19.fq.trim.sam.counts	Mc28-27.fq.trim.sam.counts	Mc28-40.fq.trim.sam.counts	Mc29-04.fq.trim.sam.counts	Mc29-06.fq.trim.sam.counts	Mc29-18.fq.trim.sam.counts	Mc29-27.fq.trim.sam.counts	
Mcavernosa00001	12	11	3	13	1	12	35	26	0	3	0	1	0	0	3	0	0	13	6	10	9	15	0	0	0	0	5	12	0	0	6	1	1	0	0	0	0	39	1	4	0	0	0	0	11	0	6	5	10	0	1	2	0	0	9	6	0	1	3	2	12	0	39	3	13	19	
Mcavernosa00002	15	7	0	10	3	9	37	24	3	1	1	0	0	0	6	0	0	5	6	7	6	11	0	0	0	0	8	18	0	0	5	0	0	0	2	0	3	25	4	0	0	0	0	0	11	0	2	2	11	2	0	6	3	2	0	2	0	2	0	2	10	0	29	8	11	14	
Mcavernosa00003	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa00004	66	70	17	69	5	73	270	66	3	37	13	45	24	1	34	0	5	49	30	57	47	55	0	0	28	1	14	30	5	0	13	1	4	6	11	0	1	28	19	5	0	0	1	0	23	0	41	34	12	1	12	19	25	14	20	21	24	2	20	23	39	0	48	47	27	26	
Mcavernosa00006	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	
Mcavernosa00007	15	11	4	11	0	11	41	32	0	12	3	2	0	0	3	0	0	15	5	10	3	17	0	0	4	9	1	8	2	0	1	0	2	0	0	0	0	8	5	7	1	0	0	0	2	3	10	6	0	0	1	2	1	1	1	2	0	0	1	6	15	0	13	12	17	7	
Mcavernosa00011	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	
Mcavernosa00014	81	64	18	90	0	212	231	117	0	11	10	30	3	32	38	0	0	55	57	34	31	60	0	3	46	66	23	60	1	0	24	7	0	0	6	0	1	28	20	57	2	2	17	0	22	0	29	105	2	265	10	60	48	3	1	20	0	62	29	22	130	0	52	112	28	58	
Mcavernosa00015	0	0	0	1	1	0	6	2	0	0	0	0	0	0	0	0	0	1	2	1	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	
Mcavernosa00017	0	2	0	0	0	3	9	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4	2	3	1	
Mcavernosa00020	6	5	0	2	0	4	20	6	0	1	0	3	1	0	1	0	7	3	2	1	0	12	0	0	0	0	0	2	0	0	4	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	3	3	6	1	4	0	1	
Mcavernosa00021	10	10	0	3	0	5	25	8	0	1	0	2	0	0	5	0	0	9	2	5	3	8	0	0	4	0	0	9	0	0	2	4	0	6	0	0	7	3	0	0	0	0	1	0	2	0	2	1	0	0	0	2	1	0	0	2	0	0	2	1	6	0	15	10	4	8	
Mcavernosa00023	21	21	1	19	0	8	65	20	4	6	14	7	0	0	9	11	0	9	6	15	14	17	0	0	12	0	6	11	0	0	19	7	1	0	0	0	0	15	1	3	0	0	0	0	7	13	5	2	0	0	0	4	3	0	0	9	0	0	9	4	16	0	9	11	11	15	
Mcavernosa00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
